,Code,Code_old,Class,Order,Family,SpeciesName,SamplingEffortGroup
0,AMP020101002,A1,Amphibia,Anura,Alytidae,Alytes cisternasii,Amphibia
1,AMP020501003,A10,Amphibia,Anura,Bufonidae,Bufo verrucosissimus,Amphibia
2,AMP020503001,A100,Amphibia,Anura,Bufonidae,Bufotes balearicus,Amphibia
3,AMP020503002,A101,Amphibia,Anura,Bufonidae,Bufotes boulengeri,Amphibia
4,AMP010213007,A104,Amphibia,Caudata,Salamandridae,Triturus macedonicus,Amphibia
5,AMP020503005,A11,Amphibia,Anura,Bufonidae,Bufotes viridis,Amphibia
6,AMP010202001,A12,Amphibia,Caudata,Salamandridae,Chioglossa lusitanica,Amphibia
7,AMP020102001,A13,Amphibia,Anura,Alytidae,Discoglossus galganoi,Amphibia
8,AMP020102002,A14,Amphibia,Anura,Alytidae,Discoglossus jeanneae,Amphibia
9,AMP020102003,A15,Amphibia,Anura,Alytidae,Discoglossus montalentii,Amphibia
10,AMP020102004,A16,Amphibia,Anura,Alytidae,Discoglossus pictus,Amphibia
11,AMP020102005,A17,Amphibia,Anura,Alytidae,Discoglossus sardus,Amphibia
12,AMP010201002,A18,Amphibia,Caudata,Salamandridae,Calotriton asper,Amphibia
13,AMP010203001,A19,Amphibia,Caudata,Salamandridae,Euproctus montanus,Amphibia
14,AMP020101003,A2,Amphibia,Anura,Alytidae,Alytes dickhilleni,Amphibia
15,AMP010203002,A20,Amphibia,Caudata,Salamandridae,Euproctus platycephalus,Amphibia
16,AMP020601001,A21,Amphibia,Anura,Hylidae,Hyla arborea,Amphibia
17,AMP020601002,A22,Amphibia,Anura,Hylidae,Hyla intermedia,Amphibia
18,AMP020601003,A23,Amphibia,Anura,Hylidae,Hyla meridionalis,Amphibia
19,AMP020601007,A24,Amphibia,Anura,Hylidae,Hyla sarda,Amphibia
20,AMP020601008,A25,Amphibia,Anura,Hylidae,Hyla savignyi,Amphibia
21,AMP010206001,A26,Amphibia,Caudata,Salamandridae,Lyciasalamandra antalyana,Amphibia
22,AMP010206003,A27,Amphibia,Caudata,Salamandridae,Lyciasalamandra atifi,Amphibia
23,AMP010206004,A28,Amphibia,Caudata,Salamandridae,Lyciasalamandra billae,Amphibia
24,AMP010206005,A29,Amphibia,Caudata,Salamandridae,Lyciasalamandra fazilae,Amphibia
25,AMP020101004,A3,Amphibia,Anura,Alytidae,Alytes muletensis,Amphibia
26,AMP010206006,A30,Amphibia,Caudata,Salamandridae,Lyciasalamandra flavimembris,Amphibia
27,AMP010206007,A31,Amphibia,Caudata,Salamandridae,Lyciasalamandra helverseni,Amphibia
28,AMP010206009,A32,Amphibia,Caudata,Salamandridae,Lyciasalamandra luschani,Amphibia
29,AMP010207001,A33,Amphibia,Caudata,Salamandridae,Mertensiella caucasica,Amphibia
30,AMP010208002,A34,Amphibia,Caudata,Salamandridae,Neurergus crocatus,Amphibia
31,AMP010208003,A35,Amphibia,Caudata,Salamandridae,Neurergus strauchii,Amphibia
32,AMP020301002,A36,Amphibia,Anura,Pelobatidae,Pelobates cultripes,Amphibia
33,AMP020301003,A37,Amphibia,Anura,Pelobatidae,Pelobates fuscus,Amphibia
34,AMP020301004,A38,Amphibia,Anura,Pelobatidae,Pelobates syriacus,Amphibia
35,AMP020401002,A39,Amphibia,Anura,Pelodytidae,Pelodytes caucasicus,Amphibia
36,AMP020101005,A4,Amphibia,Anura,Alytidae,Alytes obstetricans,Amphibia
37,AMP020401004,A40,Amphibia,Anura,Pelodytidae,Pelodytes ibericus,Amphibia
38,AMP020401005,A41,Amphibia,Anura,Pelodytidae,Pelodytes punctatus,Amphibia
39,AMP010210001,A42,Amphibia,Caudata,Salamandridae,Pleurodeles waltl,Amphibia
40,AMP010401001,A43,Amphibia,Caudata,Proteidae,Proteus anguinus,Amphibia
41,AMP020702001,A44,Amphibia,Anura,Ranidae,Rana arvalis,Amphibia
42,AMP020701001,A45,Amphibia,Anura,Ranidae,Pelophylax bedriagae,Amphibia
43,AMP020701002,A46,Amphibia,Anura,Ranidae,Pelophylax bergeri,Amphibia
44,AMP020701004,A47,Amphibia,Anura,Ranidae,Pelophylax cerigensis,Amphibia
45,AMP020701005,A48,Amphibia,Anura,Ranidae,Pelophylax cretensis,Amphibia
46,AMP020702002,A49,Amphibia,Anura,Ranidae,Rana dalmatina,Amphibia
47,AMP020201001,A5,Amphibia,Anura,Bombinatoridae,Bombina bombina,Amphibia
48,AMP020701007,A50,Amphibia,Anura,Ranidae,Pelophylax epeiroticus,Amphibia
49,AMP020701008,A51,Amphibia,Anura,Ranidae,Pelophylax esculentus,Amphibia
50,AMP020702003,A52,Amphibia,Anura,Ranidae,Rana graeca,Amphibia
51,AMP020701009,A53,Amphibia,Anura,Ranidae,Pelophylax grafi,Amphibia
52,AMP020701010,A54,Amphibia,Anura,Ranidae,Pelophylax hispanicus,Amphibia
53,AMP020702005,A55,Amphibia,Anura,Ranidae,Rana iberica,Amphibia
54,AMP020702006,A56,Amphibia,Anura,Ranidae,Rana italica,Amphibia
55,AMP020701011,A57,Amphibia,Anura,Ranidae,Pelophylax kurtmuelleri,Amphibia
56,AMP020702007,A58,Amphibia,Anura,Ranidae,Rana latastei,Amphibia
57,AMP020701012,A59,Amphibia,Anura,Ranidae,Pelophylax lessonae,Amphibia
58,AMP020201002,A6,Amphibia,Anura,Bombinatoridae,Bombina pachypus,Amphibia
59,AMP020702008,A60,Amphibia,Anura,Ranidae,Rana macrocnemis,Amphibia
60,AMP020701013,A61,Amphibia,Anura,Ranidae,Pelophylax perezi,Amphibia
61,AMP020702010,A62,Amphibia,Anura,Ranidae,Rana pyrenaica,Amphibia
62,AMP020701014,A63,Amphibia,Anura,Ranidae,Pelophylax ridibundus,Amphibia
63,AMP020701015,A64,Amphibia,Anura,Ranidae,Pelophylax shqipericus,Amphibia
64,AMP020702011,A65,Amphibia,Anura,Ranidae,Rana tavasensis,Amphibia
65,AMP020702012,A66,Amphibia,Anura,Ranidae,Rana temporaria,Amphibia
66,AMP010211001,A67,Amphibia,Caudata,Salamandridae,Salamandra atra,Amphibia
67,AMP010211002,A68,Amphibia,Caudata,Salamandridae,Salamandra corsica,Amphibia
68,AMP010211003,A69,Amphibia,Caudata,Salamandridae,Salamandra infraimmaculata,Amphibia
69,AMP020201003,A7,Amphibia,Anura,Bombinatoridae,Bombina variegata,Amphibia
70,AMP010211004,A70,Amphibia,Caudata,Salamandridae,Salamandra lanzai,Amphibia
71,AMP010211005,A71,Amphibia,Caudata,Salamandridae,Salamandra salamandra,Amphibia
72,AMP010101001,A72,Amphibia,Caudata,Hynobiidae,Salamandrella keyserlingii,Amphibia
73,AMP010212001,A73,Amphibia,Caudata,Salamandridae,Salamandrina perspicillata,Amphibia
74,AMP010212002,A74,Amphibia,Caudata,Salamandridae,Salamandrina terdigitata,Amphibia
75,AMP010301001,A75,Amphibia,Caudata,Plethodontidae,Speleomantes ambrosii,Amphibia
76,AMP010301002,A76,Amphibia,Caudata,Plethodontidae,Speleomantes flavus,Amphibia
77,AMP010301003,A77,Amphibia,Caudata,Plethodontidae,Speleomantes genei,Amphibia
78,AMP010301004,A78,Amphibia,Caudata,Plethodontidae,Speleomantes imperialis,Amphibia
79,AMP010301005,A79,Amphibia,Caudata,Plethodontidae,Speleomantes italicus,Amphibia
80,AMP020501001,A8,Amphibia,Anura,Bufonidae,Bufo bufo,Amphibia
81,AMP010301006,A80,Amphibia,Caudata,Plethodontidae,Speleomantes sarrabusensis,Amphibia
82,AMP010301007,A81,Amphibia,Caudata,Plethodontidae,Speleomantes strinatii,Amphibia
83,AMP010301008,A82,Amphibia,Caudata,Plethodontidae,Speleomantes supramontis,Amphibia
84,AMP010204001,A83,Amphibia,Caudata,Salamandridae,Ichthyosaura alpestris,Amphibia
85,AMP010205001,A84,Amphibia,Caudata,Salamandridae,Lissotriton boscai,Amphibia
86,AMP010213002,A85,Amphibia,Caudata,Salamandridae,Triturus carnifex,Amphibia
87,AMP010213003,A86,Amphibia,Caudata,Salamandridae,Triturus cristatus,Amphibia
88,AMP010213004,A87,Amphibia,Caudata,Salamandridae,Triturus dobrogicus,Amphibia
89,AMP010205003,A88,Amphibia,Caudata,Salamandridae,Lissotriton helveticus,Amphibia
90,AMP010205004,A89,Amphibia,Caudata,Salamandridae,Lissotriton italicus,Amphibia
91,AMP020502001,A9,Amphibia,Anura,Bufonidae,Epidalea calamita,Amphibia
92,AMP010213006,A90,Amphibia,Caudata,Salamandridae,Triturus karelinii,Amphibia
93,AMP010213008,A91,Amphibia,Caudata,Salamandridae,Triturus marmoratus,Amphibia
94,AMP010205008,A92,Amphibia,Caudata,Salamandridae,Lissotriton montandoni,Amphibia
95,AMP010213009,A93,Amphibia,Caudata,Salamandridae,Triturus pygmaeus,Amphibia
96,AMP010209003,A94,Amphibia,Caudata,Salamandridae,Ommatotriton vittatus,Amphibia
97,AMP010205010,A95,Amphibia,Caudata,Salamandridae,Lissotriton vulgaris,Amphibia
98,AMP020701003,A96,Amphibia,Anura,Ranidae,Pelophylax caralitanus,Amphibia
99,AMP010209002,A97,Amphibia,Caudata,Salamandridae,Ommatotriton ophryticus,Amphibia
100,AMP010201001,A99,Amphibia,Caudata,Salamandridae,Calotriton arnoldi,Amphibia
101,AVE130101001,B1,Aves,Gaviformes,Gaviidae,Gavia stellata,Aves
102,AVE140301001,B10,Aves,Procellariformes,Procellariidae,Fulmarus glacialis,Aves
103,AVE180212001,B100,Aves,Accipitriformes,Accipitridae,Accipiter brevipes,Aves
104,AVE180212002,B101,Aves,Accipitriformes,Accipitridae,Accipiter nisus,Aves
105,AVE180212003,B102,Aves,Accipitriformes,Accipitridae,Accipiter gentilis,Aves
106,AVE180215002,B103,Aves,Accipitriformes,Accipitridae,Buteo buteo,Aves
107,AVE180215003,B104,Aves,Accipitriformes,Accipitridae,Buteo rufinus,Aves
108,AVE180215001,B105,Aves,Accipitriformes,Accipitridae,Buteo lagopus,Aves
109,AVE180208001,B106,Aves,Accipitriformes,Accipitridae,Clanga pomarina,Aves
110,AVE180208002,B107,Aves,Accipitriformes,Accipitridae,Clanga clanga,Aves
111,AVE180210001,B108,Aves,Accipitriformes,Accipitridae,Aquila nipalensis,Aves
112,AVE180210002,B109,Aves,Accipitriformes,Accipitridae,Aquila adalberti,Aves
113,AVE180210003,B110,Aves,Accipitriformes,Accipitridae,Aquila heliaca,Aves
114,AVE180210004,B111,Aves,Accipitriformes,Accipitridae,Aquila chrysaetos,Aves
115,AVE180210005,B112,Aves,Accipitriformes,Accipitridae,Aquila fasciata,Aves
116,AVE180209001,B113,Aves,Accipitriformes,Accipitridae,Hieraaetus pennatus,Aves
117,AVE230101001,B114,Aves,Falconiformes,Falconidae,Falco naumanni,Aves
118,AVE230101002,B115,Aves,Falconiformes,Falconidae,Falco tinnunculus,Aves
119,AVE230101003,B116,Aves,Falconiformes,Falconidae,Falco vespertinus,Aves
120,AVE230101004,B117,Aves,Falconiformes,Falconidae,Falco eleonorae,Aves
121,AVE230101005,B118,Aves,Falconiformes,Falconidae,Falco columbarius,Aves
122,AVE230101006,B119,Aves,Falconiformes,Falconidae,Falco subbuteo,Aves
123,AVE140302001,B12,Aves,Procellariformes,Procellariidae,Pterodroma madeira,Aves
124,AVE230101007,B120,Aves,Falconiformes,Falconidae,Falco biarmicus,Aves
125,AVE230101008,B121,Aves,Falconiformes,Falconidae,Falco cherrug,Aves
126,AVE230101009,B122,Aves,Falconiformes,Falconidae,Falco rusticolus,Aves
127,AVE230101010,B123,Aves,Falconiformes,Falconidae,Falco peregrinus,Aves
128,AVE020110001,B124,Aves,Galliformes,Phasianidae,Lagopus lagopus,Aves
129,AVE020110002,B125,Aves,Galliformes,Phasianidae,Lagopus muta,Aves
130,AVE020108001,B126,Aves,Galliformes,Phasianidae,Tetrao urogallus,Aves
131,AVE020108002,B127,Aves,Galliformes,Phasianidae,Tetrao tetrix,Aves
132,AVE020108003,B128,Aves,Galliformes,Phasianidae,Tetrao mlokosiewiczi,Aves
133,AVE020109001,B129,Aves,Galliformes,Phasianidae,Tetrastes bonasia,Aves
134,AVE140303001,B13,Aves,Procellariformes,Procellariidae,Bulweria bulwerii,Aves
135,AVE020104001,B130,Aves,Galliformes,Phasianidae,Tetraogallus caucasicus,Aves
136,AVE020104002,B131,Aves,Galliformes,Phasianidae,Tetraogallus caspius,Aves
137,AVE020103001,B132,Aves,Galliformes,Phasianidae,Alectoris graeca,Aves
138,AVE020103002,B133,Aves,Galliformes,Phasianidae,Alectoris chukar,Aves
139,AVE020103004,B134,Aves,Galliformes,Phasianidae,Alectoris barbara,Aves
140,AVE020103003,B135,Aves,Galliformes,Phasianidae,Alectoris rufa,Aves
141,AVE020101001,B136,Aves,Galliformes,Phasianidae,Ammoperdix griseogularis,Aves
142,AVE020105001,B137,Aves,Galliformes,Phasianidae,Francolinus francolinus,Aves
143,AVE020107001,B138,Aves,Galliformes,Phasianidae,Perdix perdix,Aves
144,AVE020102001,B139,Aves,Galliformes,Phasianidae,Coturnix coturnix,Aves
145,AVE140304001,B14,Aves,Procellariformes,Procellariidae,Calonectris diomedea,Aves
146,AVE020106001,B140,Aves,Galliformes,Phasianidae,Phasianus colchicus,Aves
147,AVE110601001,B141,Aves,Charadriiformes,Turnicidae,Turnix sylvaticus,Aves
148,AVE100201001,B142,Aves,Gruiformes,Gruidae,Anthropoides virgo,Aves
149,AVE100202001,B143,Aves,Gruiformes,Gruidae,Grus grus,Aves
150,AVE100101001,B144,Aves,Gruiformes,Rallidae,Rallus aquaticus,Aves
151,AVE100102001,B145,Aves,Gruiformes,Rallidae,Crex crex,Aves
152,AVE100107001,B146,Aves,Gruiformes,Rallidae,Zapornia parva,Aves
153,AVE100107002,B147,Aves,Gruiformes,Rallidae,Zapornia pusilla,Aves
154,AVE100103001,B148,Aves,Gruiformes,Rallidae,Porzana porzana,Aves
155,AVE100106001,B149,Aves,Gruiformes,Rallidae,Porphyrio porphyrio,Aves
156,AVE140305001,B15,Aves,Procellariformes,Procellariidae,Puffinus puffinus,Aves
157,AVE100104001,B150,Aves,Gruiformes,Rallidae,Gallinula chloropus,Aves
158,AVE100105002,B151,Aves,Gruiformes,Rallidae,Fulica cristata,Aves
159,AVE100105001,B152,Aves,Gruiformes,Rallidae,Fulica atra,Aves
160,AVE070101001,B153,Aves,Otidiformes,Otididae,Otis tarda,Aves
161,AVE070103001,B154,Aves,Otidiformes,Otididae,Tetrax tetrax,Aves
162,AVE110301001,B155,Aves,Charadriiformes,Haematopodidae,Haematopus ostralegus,Aves
163,AVE110201001,B156,Aves,Charadriiformes,Recurvirostridae,Himantopus himantopus,Aves
164,AVE110202001,B157,Aves,Charadriiformes,Recurvirostridae,Recurvirostra avosetta,Aves
165,AVE110101001,B158,Aves,Charadriiformes,Burhinidae,Burhinus oedicnemus,Aves
166,AVE110702001,B159,Aves,Charadriiformes,Glareolidae,Glareola pratincola,Aves
167,AVE140305002,B16,Aves,Procellariformes,Procellariidae,Puffinus yelkouan,Aves
168,AVE110702002,B160,Aves,Charadriiformes,Glareolidae,Glareola nordmanni,Aves
169,AVE110402001,B161,Aves,Charadriiformes,Charadriidae,Vanellus vanellus,Aves
170,AVE110402002,B162,Aves,Charadriiformes,Charadriidae,Vanellus spinosus,Aves
171,AVE110402003,B163,Aves,Charadriiformes,Charadriidae,Vanellus indicus,Aves
172,AVE110402005,B165,Aves,Charadriiformes,Charadriidae,Vanellus leucurus,Aves
173,AVE110401002,B166,Aves,Charadriiformes,Charadriidae,Pluvialis apricaria,Aves
174,AVE110401001,B167,Aves,Charadriiformes,Charadriidae,Pluvialis squatarola,Aves
175,AVE110403004,B168,Aves,Charadriiformes,Charadriidae,Charadrius hiaticula,Aves
176,AVE110403005,B169,Aves,Charadriiformes,Charadriidae,Charadrius dubius,Aves
177,AVE140305003,B17,Aves,Procellariformes,Procellariidae,Puffinus mauretanicus,Aves
178,AVE110403003,B170,Aves,Charadriiformes,Charadriidae,Charadrius alexandrinus,Aves
179,AVE110403001,B171,Aves,Charadriiformes,Charadriidae,Charadrius leschenaultii,Aves
180,AVE110403002,B172,Aves,Charadriiformes,Charadriidae,Charadrius asiaticus,Aves
181,AVE110403006,B173,Aves,Charadriiformes,Charadriidae,Charadrius morinellus,Aves
182,AVE110506001,B174,Aves,Charadriiformes,Scolopacidae,Scolopax rusticola,Aves
183,AVE110505001,B175,Aves,Charadriiformes,Scolopacidae,Lymnocryptes minimus,Aves
184,AVE110507003,B176,Aves,Charadriiformes,Scolopacidae,Gallinago stenura,Aves
185,AVE110507001,B177,Aves,Charadriiformes,Scolopacidae,Gallinago media,Aves
186,AVE110507002,B178,Aves,Charadriiformes,Scolopacidae,Gallinago gallinago,Aves
187,AVE110502002,B179,Aves,Charadriiformes,Scolopacidae,Limosa limosa,Aves
188,AVE110502001,B180,Aves,Charadriiformes,Scolopacidae,Limosa lapponica,Aves
189,AVE110501001,B181,Aves,Charadriiformes,Scolopacidae,Numenius phaeopus,Aves
190,AVE110501002,B182,Aves,Charadriiformes,Scolopacidae,Numenius arquata,Aves
191,AVE110511002,B183,Aves,Charadriiformes,Scolopacidae,Tringa erythropus,Aves
192,AVE110511006,B184,Aves,Charadriiformes,Scolopacidae,Tringa totanus,Aves
193,AVE110511004,B185,Aves,Charadriiformes,Scolopacidae,Tringa stagnatilis,Aves
194,AVE110511003,B186,Aves,Charadriiformes,Scolopacidae,Tringa nebularia,Aves
195,AVE110511001,B187,Aves,Charadriiformes,Scolopacidae,Tringa ochropus,Aves
196,AVE110511005,B188,Aves,Charadriiformes,Scolopacidae,Tringa glareola,Aves
197,AVE110508001,B189,Aves,Charadriiformes,Scolopacidae,Xenus cinereus,Aves
198,AVE140101001,B19,Aves,Procellariformes,Oceanitidae,Pelagodroma marina,Aves
199,AVE110510001,B190,Aves,Charadriiformes,Scolopacidae,Actitis hypoleucos,Aves
200,AVE110503001,B191,Aves,Charadriiformes,Scolopacidae,Arenaria interpres,Aves
201,AVE110504001,B192,Aves,Charadriiformes,Scolopacidae,Calidris canutus,Aves
202,AVE110504005,B193,Aves,Charadriiformes,Scolopacidae,Calidris alba,Aves
203,AVE110504008,B194,Aves,Charadriiformes,Scolopacidae,Calidris minuta,Aves
204,AVE110504004,B195,Aves,Charadriiformes,Scolopacidae,Calidris temminckii,Aves
205,AVE110504006,B197,Aves,Charadriiformes,Scolopacidae,Calidris alpina,Aves
206,AVE110504007,B198,Aves,Charadriiformes,Scolopacidae,Calidris maritima,Aves
207,AVE110504003,B199,Aves,Charadriiformes,Scolopacidae,Calidris falcinellus,Aves
208,AVE130101002,B2,Aves,Gaviformes,Gaviidae,Gavia arctica,Aves
209,AVE140201001,B20,Aves,Procellariformes,Hydrobatidae,Hydrobates pelagicus,Aves
210,AVE110504002,B200,Aves,Charadriiformes,Scolopacidae,Calidris pugnax,Aves
211,AVE110509001,B201,Aves,Charadriiformes,Scolopacidae,Phalaropus lobatus,Aves
212,AVE110509002,B202,Aves,Charadriiformes,Scolopacidae,Phalaropus fulicarius,Aves
213,AVE110801001,B203,Aves,Charadriiformes,Stercorariidae,Stercorarius skua,Aves
214,AVE110801002,B204,Aves,Charadriiformes,Stercorariidae,Stercorarius pomarinus,Aves
215,AVE110801003,B205,Aves,Charadriiformes,Stercorariidae,Stercorarius parasiticus,Aves
216,AVE110801004,B206,Aves,Charadriiformes,Stercorariidae,Stercorarius longicaudus,Aves
217,AVE111007001,B207,Aves,Charadriiformes,Laridae,Larus canus,Aves
218,AVE111006003,B208,Aves,Charadriiformes,Laridae,Ichthyaetus audouinii,Aves
219,AVE111007008,B209,Aves,Charadriiformes,Laridae,Larus marinus,Aves
220,AVE140202001,B21,Aves,Procellariformes,Hydrobatidae,Oceanodroma leucorhoa,Aves
221,AVE111007007,B210,Aves,Charadriiformes,Laridae,Larus hyperboreus,Aves
222,AVE111007002,B212,Aves,Charadriiformes,Laridae,Larus argentatus,Aves
223,AVE111007006,B213,Aves,Charadriiformes,Laridae,Larus fuscus,Aves
224,AVE111007004,B214,Aves,Charadriiformes,Laridae,Larus cachinnans,Aves
225,AVE111007005,B215,Aves,Charadriiformes,Laridae,Larus armenicus,Aves
226,AVE111006002,B216,Aves,Charadriiformes,Laridae,Ichthyaetus ichthyaetus,Aves
227,AVE111004002,B217,Aves,Charadriiformes,Laridae,Chroicocephalus ridibundus,Aves
228,AVE111004001,B218,Aves,Charadriiformes,Laridae,Chroicocephalus genei,Aves
229,AVE111006001,B219,Aves,Charadriiformes,Laridae,Ichthyaetus melanocephalus,Aves
230,AVE140202002,B22,Aves,Procellariformes,Hydrobatidae,Oceanodroma castro,Aves
231,AVE111005001,B220,Aves,Charadriiformes,Laridae,Hydrocoloeus minutus,Aves
232,AVE111002001,B221,Aves,Charadriiformes,Laridae,Pagophila eburnea,Aves
233,AVE111003001,B222,Aves,Charadriiformes,Laridae,Xema sabini,Aves
234,AVE111001001,B223,Aves,Charadriiformes,Laridae,Rissa tridactyla,Aves
235,AVE111009001,B224,Aves,Charadriiformes,Laridae,Gelochelidon nilotica,Aves
236,AVE111010001,B225,Aves,Charadriiformes,Laridae,Hydroprogne caspia,Aves
237,AVE111013002,B226,Aves,Charadriiformes,Laridae,Thalasseus bengalensis,Aves
238,AVE111013001,B227,Aves,Charadriiformes,Laridae,Thalasseus sandvicensis,Aves
239,AVE111012001,B228,Aves,Charadriiformes,Laridae,Sterna dougallii,Aves
240,AVE111012002,B229,Aves,Charadriiformes,Laridae,Sterna hirundo,Aves
241,AVE120101001,B23,Aves,Phaethontiformes,Phaethontidae,Phaethon aethereus,Aves
242,AVE111012003,B230,Aves,Charadriiformes,Laridae,Sterna paradisaea,Aves
243,AVE111008001,B231,Aves,Charadriiformes,Laridae,Sternula albifrons,Aves
244,AVE111011003,B233,Aves,Charadriiformes,Laridae,Chlidonias hybrida,Aves
245,AVE111011002,B234,Aves,Charadriiformes,Laridae,Chlidonias leucopterus,Aves
246,AVE111011001,B235,Aves,Charadriiformes,Laridae,Chlidonias niger,Aves
247,AVE110901001,B236,Aves,Charadriiformes,Alcidae,Alle alle,Aves
248,AVE110902001,B237,Aves,Charadriiformes,Alcidae,Uria aalge,Aves
249,AVE110902002,B238,Aves,Charadriiformes,Alcidae,Uria lomvia,Aves
250,AVE110903001,B239,Aves,Charadriiformes,Alcidae,Alca torda,Aves
251,AVE160101001,B24,Aves,Suliformes,Sulidae,Morus bassanus,Aves
252,AVE110904001,B240,Aves,Charadriiformes,Alcidae,Cepphus grylle,Aves
253,AVE110905001,B241,Aves,Charadriiformes,Alcidae,Fratercula arctica,Aves
254,AVE060102001,B242,Aves,Pterocliformes,Pteroclidae,Pterocles alchata,Aves
255,AVE060102002,B243,Aves,Pterocliformes,Pteroclidae,Pterocles orientalis,Aves
256,AVE050101001,B244,Aves,Columbiformes,Columbidae,Columba livia,Aves
257,AVE050101002,B245,Aves,Columbiformes,Columbidae,Columba oenas,Aves
258,AVE050101003,B246,Aves,Columbiformes,Columbidae,Columba palumbus,Aves
259,AVE050101004,B247,Aves,Columbiformes,Columbidae,Columba trocaz,Aves
260,AVE050102001,B248,Aves,Columbiformes,Columbidae,Streptopelia turtur,Aves
261,AVE050102002,B249,Aves,Columbiformes,Columbidae,Streptopelia decaocto,Aves
262,AVE160202001,B25,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax carbo,Aves
263,AVE050102003,B250,Aves,Columbiformes,Columbidae,Streptopelia senegalensis,Aves
264,AVE080101001,B251,Aves,Cuculiformes,Cuculidae,Clamator glandarius,Aves
265,AVE080102002,B252,Aves,Cuculiformes,Cuculidae,Cuculus canorus,Aves
266,AVE080102001,B253,Aves,Cuculiformes,Cuculidae,Cuculus saturatus,Aves
267,AVE190101001,B254,Aves,Strigiformes,Tytonidae,Tyto alba,Aves
268,AVE190201002,B255,Aves,Strigiformes,Strigidae,Otus brucei,Aves
269,AVE190201001,B256,Aves,Strigiformes,Strigidae,Otus scops,Aves
270,AVE190202001,B257,Aves,Strigiformes,Strigidae,Bubo bubo,Aves
271,AVE190202002,B258,Aves,Strigiformes,Strigidae,Bubo scandiacus,Aves
272,AVE190207001,B259,Aves,Strigiformes,Strigidae,Strix aluco,Aves
273,AVE160202002,B26,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax aristotelis,Aves
274,AVE190207002,B260,Aves,Strigiformes,Strigidae,Strix uralensis,Aves
275,AVE190207003,B261,Aves,Strigiformes,Strigidae,Strix nebulosa,Aves
276,AVE190204001,B262,Aves,Strigiformes,Strigidae,Surnia ulula,Aves
277,AVE190205001,B263,Aves,Strigiformes,Strigidae,Glaucidium passerinum,Aves
278,AVE190206001,B264,Aves,Strigiformes,Strigidae,Athene noctua,Aves
279,AVE190209001,B265,Aves,Strigiformes,Strigidae,Aegolius funereus,Aves
280,AVE190208001,B266,Aves,Strigiformes,Strigidae,Asio otus,Aves
281,AVE190208002,B267,Aves,Strigiformes,Strigidae,Asio flammeus,Aves
282,AVE090101001,B268,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus ruficollis,Aves
283,AVE090101002,B269,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus europaeus,Aves
284,AVE160201001,B27,Aves,Suliformes,Phalacrocoracidae,Microcarbo pygmaeus,Aves
285,AVE090201001,B270,Aves,Caprimulgiformes,Apodidae,Apus melba,Aves
286,AVE090201002,B271,Aves,Caprimulgiformes,Apodidae,Apus apus,Aves
287,AVE090201003,B272,Aves,Caprimulgiformes,Apodidae,Apus unicolor,Aves
288,AVE090201004,B273,Aves,Caprimulgiformes,Apodidae,Apus pallidus,Aves
289,AVE090201005,B274,Aves,Caprimulgiformes,Apodidae,Apus affinis,Aves
